Patente|Pedimento|SeccionAduanera|FechaFacturacion|NumeroFactura|TerminoFacturacion|MonedaFacturacion|ValorDolares|ValorMonedaExtranjera|PaisFacturacion|EntidadFedFacturacion|IndentFiscalProveedor|ProveedorMercancia|CalleProveedor|NumInteriorProveedor|NumExteriorProveedor|CpProveedor|MunicipioProveedor|FechaPagoReal
1634|3014308|240|2023-04-18|f42d8053-d1fe-4bb7-8786-b91b80176b37|FCA|USD|27662.03|27662.03|USA| |261346857|DANA LIGHT AXLE PRODUCTS LLC|INDUSTRIAL ROAD SUITE|400|31572|48150|LIVONIA|2023-05-02 11:47:10|
3579|3017344|240|2023-05-04|COVE235SE3AG1|FCA|USD|2888.64|2888.64|MEX| |22-3190143|BMW MANUFACTURING CO, LLC|FREEMAN FARM ROAD||1331|29651|GREER|2023-05-10 10:09:29|
3694|3037491|750|2023-04-03|68dbcfdc-9712-4bc1-8c38-24eef6c79a66|DAP|USD|7739.13|7739.13|MEX| |TIS820222I14|DRAXTON MEXICO S. DE R.L. DE C.V.|AV. PROMOCION|S/N|145|78395|SAN LUIS POTOSI|2023-05-15 11:47:00|
3426|3002164|480||COVE235SU34L4|FCA| |0.00|0.00| | |S/N|GAINDU SL||||||2023-05-16 15:59:10|
3694|3037491|750|2023-04-24|5ebd74cd-33b9-45df-880e-5bbe54809b8f|DAP|USD|9196.80|9196.80|MEX| |TIS820222I14|DRAXTON MEXICO S. DE R.L. DE C.V.|AV. PROMOCION|S/N|145|78395|SAN LUIS POTOSI|2023-05-15 11:47:00|
3878|3007251|240|2023-05-23|6a6e20dd-3ae1-4e87-9a4d-b7619311579e|EXW|USD|60918.66|60918.66|USA| |31-0995787|BENTELER AUTOMOTIVE|N. OPDYKE RD, BUILDING B||2650|48326|AUBURN HILLS|2023-05-30 13:39:08|
3426|3002009|480||COVE235S3UED4|EXW| |0.00|0.00| | |S/N|AFHER 1988, S.L.||||||2023-05-04 16:59:09|
3699|3023697|430|2023-04-15|5ecc0b32-5844-40b4-821d-09c2c9c65e25|FCA|USD|12627.00|12627.00|MEX| |DE129273398|BMW AG|HEIDEMANNSTR.||164|80939|MUNCHEN|2023-05-16 15:37:02|
3622|3008608|430|2023-04-22|b8e891ce-faf7-4e96-921a-141f06593eb9|FCA|USD|6337.50|6337.50|MEX| |DE129273398|BMW AG|HEIDEMANNSTR.||164|80939|MUNCHEN, BAYERN|2023-05-11 13:41:00|
3995|3006139|240||COVE235S1Z8Z5|FCA| |0.00|0.00| | |341862827|SUPPLY TECHNOLOGIES||||||2023-05-04 11:27:14|
3579|3018458|240|2023-05-23|42106792-701A-4FAD-8C0A-572D345B578D|FCA|USD|1002.96|1002.96|MEX| |22-3190143|BMW CONSOLIDATION SERVICES CO., LLC|FREEMAN FARM RD||1331|29651|GREER|2023-05-24 17:10:03|
3682|3004278|240|2023-05-08|4a3217d9-4abb-4cbb-a46c-9afb0389a5e4|FCA|USD|2503.20|2503.20|USA| |611462969|ZF NORTH AMERICA INC|CENTENNIAL DRIVE||15811|48168|NORTHVILLE|2023-05-19 14:27:07|
3878|3006927|240|2023-04-28|e8003ac3-9000-45fb-868c-a4aeadc9e589|EXW|USD|68500.96|68500.96|USA| |31-0995787|BENTELER AUTOMOTIVE|N. OPDYKE RD, BUILDING B||2650|48326|AUBURN HILLS|2023-05-12 12:17:19|
3694|3037491|750|2023-04-04|b2c3ac0b-67fa-495a-9617-e6f59229dbcf|DAP|USD|7747.20|7747.20|MEX| |TIS820222I14|DRAXTON MEXICO S. DE R.L. DE C.V.|AV. PROMOCION|S/N|145|78395|SAN LUIS POTOSI|2023-05-15 11:47:00|
1692|3000671|810|2023-02-28|COVE235RCKM43|EXW|EUR|3232.02|2974.98|PRT| |PT502060913|SERI - SOC. DE ESTUDOS E REALIZACOES INDUSTRIAIS, LDA.|RUA JOSE RAMOS MAIA LOTE No.3||S/N|4480-628|ARVORE|2023-05-02 13:46:04|
3579|3017614|240|2023-05-11|D03CA54B-F4B9-43CC-8514-0A30C6B3B47F|FCA|USD|3008.88|3008.88|MEX| |320308060|BMW CONSOLIDATION SERVICES CO., LLC|PO BOX||11000|29304|SPARTANBURG|2023-05-15 12:18:12|
